CurrentRank,Country,CurrentScore,LifeExp,Type,SchYrs,GNIperCapita,PreviousRank,Continent,Status
175,Ethiopia,0.498,65,Expected,9.7,"2,361",175,Africa,Low
176,Eritrea,0.492,66.5,Expected,8.1,"1,729",176,Africa,Low
177,Guinea-Bissau,0.483,59.7,Expected,10.6,"1,908",177,Africa,Low
178,Liberia,0.481,60.7,Expected,10.4,"1,289",179,Africa,Low
179,Dem. Rep. Congo,0.479,59.2,Expected,9.8,"1,076",180,Africa,Low
180,Afghanistan,0.478,62,Expected,10.3,"1,824",177,Asia,Low
181,Sierra Leone,0.477,60.1,Expected,9.6,"1,622",181,Africa,Low
182,Guinea,0.465,58.9,Expected,9.8,"2,481",182,Africa,Low
183,Yemen,0.455,63.8,Expected,9.1,"1,314",183,Africa,Low
184,Burkina Faso,0.449,59.3,Expected,9.1,"2,118",185,Africa,Low
185,Mozambique,0.446,59.3,Expected,10.2,"1,198",184,Africa,Low
186,Mali,0.428,58.9,Expected,7.4,"2,133",186,Africa,Low
187,Burundi,0.426,61.7,Expected,10.7,732,187,Africa,Low
188,Central African Rep.,0.404,53.9,Expected,8,966,188,Africa,Low
189,Niger,0.4,61.6,Expected,7,"1,240",189,Africa,Low
190,Chad,0.394,52.5,Expected,8,"1,364",190,Africa,Low
191,S. Sudan,0.385,55,Expected,5.5,768,191,Africa,Low
