CurrentRank,Country,CurrentScore,LifeExp,Type,SchYrs,GNIperCapita,PreviousRank,Continent,Status
74,Bosnia and Herz.,0.78,75.3,Mean,10.5,"15,242",73,Europe,High
75,Saint Kitts and Nevis,0.777,71.7,Mean,8.7,"23,358",76,North America,High
76,Iran,0.774,73.9,Mean,10.6,"13,001",77,Asia,High
77,Ukraine,0.773,71.6,Mean,11.1,"13,256",78,Europe,High
78,Macedonia,0.77,73.8,Mean,10.2,"15,918",79,Europe,High
79,China,0.768,78.2,Mean,7.6,"17,504",82,Asia,High
80,Dominican Rep.,0.767,72.6,Mean,9.3,"17,990",82,North America,High
80,Moldova,0.767,68.8,Mean,11.8,"14,875",81,Europe,High
80,Palau,0.767,66,Mean,12.5,"13,819",80,Australia,High
83,Cuba,0.764,73.7,Mean,12.5,"7,879",73,North America,High
84,Peru,0.762,72.4,Mean,9.9,"12,246",85,South America,High
85,Armenia,0.759,72,Mean,11.3,"13,158",87,Europe,High
86,Mexico,0.758,70.2,Mean,9.2,"17,896",88,North America,High
87,Brazil,0.754,72.8,Mean,8.1,"14,370",86,South America,High
88,Colombia,0.752,72.8,Mean,8.9,"14,384",88,South America,High
89,Saint Vincent and the Grenadines,0.751,69.6,Mean,10.8,"11,961",82,North America,High
90,Maldives,0.747,79.9,Mean,7.3,"15,448",97,Asia,High
91,Algeria,0.745,76.4,Mean,8.1,"10,800",96,Africa,High
91,Azerbaijan,0.745,69.4,Mean,10.5,"14,257",100,Asia,High
91,Tonga,0.745,71,Mean,11.4,"6,822",90,Australia,High
91,Turkmenistan,0.745,69.3,Mean,11.3,"13,021",93,Asia,High
95,Ecuador,0.74,73.7,Mean,8.8,"10,312",99,South America,High
96,Mongolia,0.739,71,Mean,9.4,"10,588",90,Asia,High
97,Egypt,0.731,70.2,Mean,9.6,"11,732",97,Africa,High
97,Tunisia,0.731,73.8,Mean,7.4,"10,258",94,Africa,High
99,Fiji,0.73,67.1,Mean,10.9,"9,980",94,Australia,High
99,Suriname,0.73,70.3,Mean,9.8,"12,672",92,South America,High
101,Uzbekistan,0.727,70.9,Mean,11.9,"7,917",107,Asia,High
102,Dominica,0.72,72.8,Mean,8.1,"11,488",106,North America,High
102,Jordan,0.72,74.3,Mean,10.4,"9,924",104,Asia,High
104,Libya,0.718,71.9,Mean,7.6,"15,336",117,Africa,High
105,Paraguay,0.717,70.3,Mean,8.9,"12,349",100,South America,High
106,Palestine,0.715,73.5,Mean,9.9,"6,583",109,Asia,High
106,Saint Lucia,0.715,71.1,Mean,8.5,"12,048",104,North America,High
108,Guyana,0.714,65.7,Mean,8.6,"22,465",107,South America,High
109,South Africa,0.713,62.3,Mean,11.4,"12,948",102,Africa,High
110,Jamaica,0.709,70.5,Mean,9.2,"8,834",110,North America,High
111,Samoa,0.707,72.8,Mean,11.4,"5,308",112,Australia,High
112,Gabon,0.706,65.8,Mean,9.4,"13,367",113,Africa,High
112,Lebanon,0.706,75,Mean,8.7,"9,526",103,Asia,High
114,Indonesia,0.705,67.6,Mean,8.6,"11,466",116,Asia,High
115,Vietnam,0.703,73.6,Mean,8.4,"7,867",113,Asia,High
116,Philippines,0.699,69.3,Mean,9,"8,920",113,Asia,Medium
117,Botswana,0.693,61.1,Mean,10.3,"16,198",110,Africa,Medium
118,Bolivia,0.692,63.6,Mean,9.8,"8,111",119,South America,Medium
118,Kyrgyzstan,0.692,70,Mean,11.4,"4,566",121,Asia,Medium
120,Venezuela,0.691,70.6,Mean,11.1,"4,811",118,South America,Medium
121,Iraq,0.686,70.4,Mean,7.9,"9,977",122,Asia,Medium
122,Tajikistan,0.685,71.6,Mean,11.3,"4,548",126,Asia,Medium
123,Belize,0.683,70.5,Mean,8.8,"6,309",120,North America,Medium
123,Morocco,0.683,74,Mean,5.9,"7,303",122,Africa,Medium
125,El Salvador,0.675,70.7,Mean,7.2,"8,296",124,North America,Medium
126,Nicaragua,0.667,73.8,Mean,7.1,"5,625",129,North America,Medium
127,Bhutan,0.666,71.8,Mean,5.2,"9,438",125,Asia,Medium
128,Cabo Verde,0.662,74.1,Mean,6.3,"6,230",127,Africa,Medium
129,Bangladesh,0.661,72.4,Mean,7.4,"5,472",128,Asia,Medium
130,Tuvalu,0.641,64.5,Mean,10.6,"6,351",131,Australia,Medium
131,Marshall Islands,0.639,65.3,Mean,10.9,"4,620",131,Australia,Medium
132,India,0.633,67.2,Mean,6.7,"6,590",130,Asia,Medium
133,Ghana,0.632,63.8,Mean,8.3,"5,745",135,Africa,Medium
134,Micronesia,0.628,70.7,Mean,7.8,"3,696",136,Australia,Medium
135,Guatemala,0.627,69.2,Mean,5.7,"8,723",133,North America,Medium
136,Kiribati,0.624,67.4,Mean,8,"4,063",137,Australia,Medium
137,Honduras,0.621,70.1,Mean,7.1,"5,298",138,North America,Medium
138,Sao Tome and Principe,0.618,67.6,Mean,6.2,"4,021",139,Africa,Medium
139,Namibia,0.615,59.3,Mean,7.2,"8,634",134,Africa,Medium
140,Laos,0.607,68.1,Mean,5.4,"7,700",142,Asia,Medium
140,Timor-Leste,0.607,67.7,Mean,5.4,"4,461",140,Asia,Medium
