Region,2021 HDI Score,Life Expectancy,Gross National Income per Capita
Africa,0.557055556,62.9462963,5344.055556
Asia,0.743186047,73.65116279,22396.18605
Australia,0.699846154,70.60769231,12117.69231
Europe,0.875255319,78.28723404,40920.12766
North America,0.740863636,72.53181818,16214.04545
South America,0.754833333,71.825,14873.08333
World,0.732,71.4,16752.00
